sticker_id,team_code,country,sticker_number,owned
ALG01,ALG,Argélia,1,False
ALG02,ALG,Argélia,2,True
ALG03,ALG,Argélia,3,True
ALG04,ALG,Argélia,4,True
ALG05,ALG,Argélia,5,False
ALG06,ALG,Argélia,6,False
ALG07,ALG,Argélia,7,True
ALG08,ALG,Argélia,8,False
ALG09,ALG,Argélia,9,False
ALG10,ALG,Argélia,10,True
ALG11,ALG,Argélia,11,True
ALG12,ALG,Argélia,12,False
ALG13,ALG,Argélia,13,True
ALG14,ALG,Argélia,14,False
ALG15,ALG,Argélia,15,True
ALG16,ALG,Argélia,16,True
ALG17,ALG,Argélia,17,False
ALG18,ALG,Argélia,18,False
ALG19,ALG,Argélia,19,False
ALG20,ALG,Argélia,20,True
ARG01,ARG,Argentina,1,True
ARG02,ARG,Argentina,2,True
ARG03,ARG,Argentina,3,True
ARG04,ARG,Argentina,4,False
ARG05,ARG,Argentina,5,True
ARG06,ARG,Argentina,6,True
ARG07,ARG,Argentina,7,False
ARG08,ARG,Argentina,8,True
ARG09,ARG,Argentina,9,True
ARG10,ARG,Argentina,10,True
ARG11,ARG,Argentina,11,False
ARG12,ARG,Argentina,12,True
ARG13,ARG,Argentina,13,True
ARG14,ARG,Argentina,14,True
ARG15,ARG,Argentina,15,True
ARG16,ARG,Argentina,16,True
ARG17,ARG,Argentina,17,True
ARG18,ARG,Argentina,18,False
ARG19,ARG,Argentina,19,True
ARG20,ARG,Argentina,20,False
AUS01,AUS,Austrália,1,True
AUS02,AUS,Austrália,2,True
AUS03,AUS,Austrália,3,True
AUS04,AUS,Austrália,4,True
AUS05,AUS,Austrália,5,True
AUS06,AUS,Austrália,6,False
AUS07,AUS,Austrália,7,True
AUS08,AUS,Austrália,8,True
AUS09,AUS,Austrália,9,False
AUS10,AUS,Austrália,10,False
AUS11,AUS,Austrália,11,True
AUS12,AUS,Austrália,12,True
AUS13,AUS,Austrália,13,True
AUS14,AUS,Austrália,14,True
AUS15,AUS,Austrália,15,False
AUS16,AUS,Austrália,16,False
AUS17,AUS,Austrália,17,True
AUS18,AUS,Austrália,18,True
AUS19,AUS,Austrália,19,False
AUS20,AUS,Austrália,20,False
AUT01,AUT,Áustria,1,True
AUT02,AUT,Áustria,2,True
AUT03,AUT,Áustria,3,True
AUT04,AUT,Áustria,4,False
AUT05,AUT,Áustria,5,True
AUT06,AUT,Áustria,6,True
AUT07,AUT,Áustria,7,False
AUT08,AUT,Áustria,8,True
AUT09,AUT,Áustria,9,True
AUT10,AUT,Áustria,10,True
AUT11,AUT,Áustria,11,True
AUT12,AUT,Áustria,12,True
AUT13,AUT,Áustria,13,True
AUT14,AUT,Áustria,14,True
AUT15,AUT,Áustria,15,True
AUT16,AUT,Áustria,16,True
AUT17,AUT,Áustria,17,True
AUT18,AUT,Áustria,18,True
AUT19,AUT,Áustria,19,True
AUT20,AUT,Áustria,20,False
BEL01,BEL,Bélgica,1,False
BEL02,BEL,Bélgica,2,True
BEL03,BEL,Bélgica,3,True
BEL04,BEL,Bélgica,4,False
BEL05,BEL,Bélgica,5,True
BEL06,BEL,Bélgica,6,True
BEL07,BEL,Bélgica,7,True
BEL08,BEL,Bélgica,8,True
BEL09,BEL,Bélgica,9,False
BEL10,BEL,Bélgica,10,True
BEL11,BEL,Bélgica,11,True
BEL12,BEL,Bélgica,12,True
BEL13,BEL,Bélgica,13,False
BEL14,BEL,Bélgica,14,True
BEL15,BEL,Bélgica,15,False
