sticker_id,team_code,country,sticker_number,owned
ALG01,ALG,Argélia,1,False
ALG05,ALG,Argélia,5,False
ALG08,ALG,Argélia,8,False
ALG17,ALG,Argélia,17,False
ARG04,ARG,Argentina,4,False
ARG07,ARG,Argentina,7,False
ARG11,ARG,Argentina,11,False
AUS10,AUS,Austrália,10,False
AUS16,AUS,Austrália,16,False
AUS20,AUS,Austrália,20,False
BEL01,BEL,Bélgica,1,False
BEL04,BEL,Bélgica,4,False
BEL19,BEL,Bélgica,19,False
BEL20,BEL,Bélgica,20,False
BIH06,BIH,Bósnia,6,False
BIH13,BIH,Bósnia,13,False
BRA01,BRA,Brasil,1,False
BRA04,BRA,Brasil,4,False
BRA08,BRA,Brasil,8,False
CAN15,CAN,Canadá,15,False
CAN18,CAN,Canadá,18,False
CIV01,CIV,Costa do Marfim,1,False
CIV04,CIV,Costa do Marfim,4,False
CIV11,CIV,Costa do Marfim,11,False
CIV16,CIV,Costa do Marfim,16,False
CIV20,CIV,Costa do Marfim,20,False
COD03,COD,Congo,3,False
COD08,COD,Congo,8,False
COD15,COD,Congo,15,False
COD19,COD,Congo,19,False
COL02,COL,Colômbia,2,False
COL03,COL,Colômbia,3,False
COL11,COL,Colômbia,11,False
COL16,COL,Colômbia,16,False
COL19,COL,Colômbia,19,False
CPV04,CPV,Cabo Verde,4,False
CPV19,CPV,Cabo Verde,19,False
CRO01,CRO,Croácia,1,False
CRO02,CRO,Croácia,2,False
CRO03,CRO,Croácia,3,False
CRO05,CRO,Croácia,5,False
CRO06,CRO,Croácia,6,False
CRO07,CRO,Croácia,7,False
CRO11,CRO,Croácia,11,False
CRO13,CRO,Croácia,13,False
CRO14,CRO,Croácia,14,False
CUW01,CUW,Curaçao,1,False
CUW02,CUW,Curaçao,2,False
CUW05,CUW,Curaçao,5,False
CUW10,CUW,Curaçao,10,False
CUW20,CUW,Curaçao,20,False
CZE12,CZE,Rep. Tcheca,12,False
CZE15,CZE,Rep. Tcheca,15,False
ECU06,ECU,Equador,6,False
ECU11,ECU,Equador,11,False
ECU15,ECU,Equador,15,False
ECU19,ECU,Equador,19,False
EGY01,EGY,Egito,1,False
EGY12,EGY,Egito,12,False
EGY14,EGY,Egito,14,False
EGY17,EGY,Egito,17,False
ENG01,ENG,Inglaterra,1,False
ENG02,ENG,Inglaterra,2,False
ENG20,ENG,Inglaterra,20,False
ESP04,ESP,Espanha,4,False
ESP06,ESP,Espanha,6,False
ESP13,ESP,Espanha,13,False
ESP14,ESP,Espanha,14,False
ESP16,ESP,Espanha,16,False
ESP18,ESP,Espanha,18,False
ESP19,ESP,Espanha,19,False
ESP20,ESP,Espanha,20,False
FRA02,FRA,França,2,False
FRA03,FRA,França,3,False
FRA06,FRA,França,6,False
FRA08,FRA,França,8,False
FRA15,FRA,França,15,False
FRA19,FRA,França,19,False
FWC06,FWC,FIFA World Cup,6,False
GER03,GER,Alemanha,3,False
GER09,GER,Alemanha,9,False
GER13,GER,Alemanha,13,False
GER14,GER,Alemanha,14,False
GER17,GER,Alemanha,17,False
GHA01,GHA,Gana,1,False
GHA02,GHA,Gana,2,False
GHA08,GHA,Gana,8,False
GHA10,GHA,Gana,10,False
GHA11,GHA,Gana,11,False
GHA15,GHA,Gana,15,False
HAI01,HAI,Haiti,1,False
HAI08,HAI,Haiti,8,False
HAI13,HAI,Haiti,13,False
HAI16,HAI,Haiti,16,False
IRN01,IRN,Irã,1,False
IRN03,IRN,Irã,3,False
IRN11,IRN,Irã,11,False
IRN16,IRN,Irã,16,False
IRN19,IRN,Irã,19,False
