sticker_id,team_code,country,sticker_number,owned
ALG02,ALG,Argélia,2,True
ALG03,ALG,Argélia,3,True
ALG04,ALG,Argélia,4,True
ALG07,ALG,Argélia,7,True
ALG10,ALG,Argélia,10,True
ALG11,ALG,Argélia,11,True
ALG13,ALG,Argélia,13,True
ALG14,ALG,Argélia,14,True
ALG15,ALG,Argélia,15,True
ALG16,ALG,Argélia,16,True
ALG18,ALG,Argélia,18,True
ALG20,ALG,Argélia,20,True
ARG01,ARG,Argentina,1,True
ARG02,ARG,Argentina,2,True
ARG03,ARG,Argentina,3,True
ARG05,ARG,Argentina,5,True
ARG06,ARG,Argentina,6,True
ARG08,ARG,Argentina,8,True
ARG09,ARG,Argentina,9,True
ARG10,ARG,Argentina,10,True
ARG12,ARG,Argentina,12,True
ARG13,ARG,Argentina,13,True
ARG14,ARG,Argentina,14,True
ARG15,ARG,Argentina,15,True
ARG16,ARG,Argentina,16,True
ARG17,ARG,Argentina,17,True
ARG19,ARG,Argentina,19,True
ARG20,ARG,Argentina,20,True
AUS01,AUS,Austrália,1,True
AUS02,AUS,Austrália,2,True
AUS03,AUS,Austrália,3,True
AUS04,AUS,Austrália,4,True
AUS05,AUS,Austrália,5,True
AUS07,AUS,Austrália,7,True
AUS08,AUS,Austrália,8,True
AUS11,AUS,Austrália,11,True
AUS12,AUS,Austrália,12,True
AUS13,AUS,Austrália,13,True
AUS14,AUS,Austrália,14,True
AUS17,AUS,Austrália,17,True
AUS18,AUS,Austrália,18,True
AUS19,AUS,Austrália,19,True
AUT01,AUT,Áustria,1,True
AUT02,AUT,Áustria,2,True
AUT03,AUT,Áustria,3,True
AUT04,AUT,Áustria,4,True
AUT05,AUT,Áustria,5,True
AUT06,AUT,Áustria,6,True
AUT08,AUT,Áustria,8,True
AUT09,AUT,Áustria,9,True
AUT10,AUT,Áustria,10,True
AUT11,AUT,Áustria,11,True
AUT12,AUT,Áustria,12,True
AUT13,AUT,Áustria,13,True
AUT14,AUT,Áustria,14,True
AUT15,AUT,Áustria,15,True
AUT16,AUT,Áustria,16,True
AUT17,AUT,Áustria,17,True
AUT18,AUT,Áustria,18,True
AUT19,AUT,Áustria,19,True
AUT20,AUT,Áustria,20,True
BEL02,BEL,Bélgica,2,True
BEL03,BEL,Bélgica,3,True
BEL05,BEL,Bélgica,5,True
BEL06,BEL,Bélgica,6,True
BEL07,BEL,Bélgica,7,True
BEL08,BEL,Bélgica,8,True
BEL09,BEL,Bélgica,9,True
BEL10,BEL,Bélgica,10,True
BEL11,BEL,Bélgica,11,True
BEL13,BEL,Bélgica,13,True
BEL14,BEL,Bélgica,14,True
BEL16,BEL,Bélgica,16,True
BEL17,BEL,Bélgica,17,True
BEL18,BEL,Bélgica,18,True
BIH02,BIH,Bósnia,2,True
BIH03,BIH,Bósnia,3,True
BIH05,BIH,Bósnia,5,True
BIH07,BIH,Bósnia,7,True
BIH08,BIH,Bósnia,8,True
BIH09,BIH,Bósnia,9,True
BIH10,BIH,Bósnia,10,True
BIH11,BIH,Bósnia,11,True
BIH12,BIH,Bósnia,12,True
BIH14,BIH,Bósnia,14,True
BIH15,BIH,Bósnia,15,True
BIH16,BIH,Bósnia,16,True
BIH17,BIH,Bósnia,17,True
BIH18,BIH,Bósnia,18,True
BIH19,BIH,Bósnia,19,True
BRA02,BRA,Brasil,2,True
BRA03,BRA,Brasil,3,True
BRA05,BRA,Brasil,5,True
BRA06,BRA,Brasil,6,True
BRA07,BRA,Brasil,7,True
BRA09,BRA,Brasil,9,True
BRA10,BRA,Brasil,10,True
BRA11,BRA,Brasil,11,True
BRA14,BRA,Brasil,14,True
BRA15,BRA,Brasil,15,True
BRA18,BRA,Brasil,18,True
BRA19,BRA,Brasil,19,True
BRA20,BRA,Brasil,20,True
CAN01,CAN,Canadá,1,True
CAN03,CAN,Canadá,3,True
CAN04,CAN,Canadá,4,True
CAN05,CAN,Canadá,5,True
CAN06,CAN,Canadá,6,True
CAN07,CAN,Canadá,7,True
CAN08,CAN,Canadá,8,True
CAN10,CAN,Canadá,10,True
CAN11,CAN,Canadá,11,True
CAN12,CAN,Canadá,12,True
CAN13,CAN,Canadá,13,True
CAN14,CAN,Canadá,14,True
CAN16,CAN,Canadá,16,True
CAN17,CAN,Canadá,17,True
CAN19,CAN,Canadá,19,True
CAN20,CAN,Canadá,20,True
CIV02,CIV,Costa do Marfim,2,True
CIV03,CIV,Costa do Marfim,3,True
CIV05,CIV,Costa do Marfim,5,True
CIV06,CIV,Costa do Marfim,6,True
CIV13,CIV,Costa do Marfim,13,True
CIV15,CIV,Costa do Marfim,15,True
CIV19,CIV,Costa do Marfim,19,True
COD02,COD,Congo,2,True
COD04,COD,Congo,4,True
COD05,COD,Congo,5,True
COD06,COD,Congo,6,True
COD07,COD,Congo,7,True
COD10,COD,Congo,10,True
COD11,COD,Congo,11,True
COD12,COD,Congo,12,True
COD16,COD,Congo,16,True
COD17,COD,Congo,17,True
COD18,COD,Congo,18,True
COL04,COL,Colômbia,4,True
COL06,COL,Colômbia,6,True
COL07,COL,Colômbia,7,True
COL08,COL,Colômbia,8,True
COL09,COL,Colômbia,9,True
COL12,COL,Colômbia,12,True
COL13,COL,Colômbia,13,True
COL14,COL,Colômbia,14,True
COL15,COL,Colômbia,15,True
COL17,COL,Colômbia,17,True
COL18,COL,Colômbia,18,True
COL20,COL,Colômbia,20,True
CPV01,CPV,Cabo Verde,1,True
CPV02,CPV,Cabo Verde,2,True
CPV03,CPV,Cabo Verde,3,True
CPV05,CPV,Cabo Verde,5,True
CPV06,CPV,Cabo Verde,6,True
CPV07,CPV,Cabo Verde,7,True
CPV08,CPV,Cabo Verde,8,True
CPV09,CPV,Cabo Verde,9,True
CPV11,CPV,Cabo Verde,11,True
CPV12,CPV,Cabo Verde,12,True
CPV13,CPV,Cabo Verde,13,True
CPV14,CPV,Cabo Verde,14,True
CPV16,CPV,Cabo Verde,16,True
CPV17,CPV,Cabo Verde,17,True
CPV18,CPV,Cabo Verde,18,True
CPV20,CPV,Cabo Verde,20,True
CRO04,CRO,Croácia,4,True
CRO08,CRO,Croácia,8,True
CRO09,CRO,Croácia,9,True
CRO10,CRO,Croácia,10,True
CRO12,CRO,Croácia,12,True
CRO15,CRO,Croácia,15,True
CRO17,CRO,Croácia,17,True
CRO18,CRO,Croácia,18,True
CRO19,CRO,Croácia,19,True
CUW03,CUW,Curaçao,3,True
CUW04,CUW,Curaçao,4,True
CUW06,CUW,Curaçao,6,True
CUW07,CUW,Curaçao,7,True
CUW08,CUW,Curaçao,8,True
CUW09,CUW,Curaçao,9,True
CUW11,CUW,Curaçao,11,True
CUW12,CUW,Curaçao,12,True
CUW14,CUW,Curaçao,14,True
CUW15,CUW,Curaçao,15,True
CUW16,CUW,Curaçao,16,True
CUW17,CUW,Curaçao,17,True
CUW18,CUW,Curaçao,18,True
CUW19,CUW,Curaçao,19,True
CZE01,CZE,Rep. Tcheca,1,True
CZE02,CZE,Rep. Tcheca,2,True
CZE04,CZE,Rep. Tcheca,4,True
CZE05,CZE,Rep. Tcheca,5,True
CZE07,CZE,Rep. Tcheca,7,True
CZE08,CZE,Rep. Tcheca,8,True
CZE09,CZE,Rep. Tcheca,9,True
CZE10,CZE,Rep. Tcheca,10,True
CZE13,CZE,Rep. Tcheca,13,True
